ID,Invernadero,Municipio,CP,IIBB,Area_Total,Propia,Area_Tomate,Variedades,Produccion_Total,Reduccion_Rendimiento,Reducion_Cantidad_Fertilizante,Reduccion_Costo_Mano_de_Obra,Reduccion_Tiempo,Reduccion_Costo_Maquinaria,Factores_Informacion,Factores_Vecinos,Factores_Impacto_Ambiental,Factores_Mayores_Ingresos,Factores_Menores_Costos,Factores_Mayores_Rendimientos,Factores_Control_Plagas,Factores_Mundo_Mejor,Afirmaciones_Convencional_Sostenible,Afrimaciones_Plaguicidas_Estabilidad_Economica,Afirmaciones_Altos_Rendimientos_Sin_Pesticidas,Afirmaciones_Pesticidas_No_Daninos,Afirmacion_Demanda_Fibras,Afirmacion_Ecologico_Economicamente_Arriesgada,Afirmacion_Control_Biologico_Sustituye_Pesticidas,Afirmacion_Me_Intereso_Tecnologia,UE_Directiva_Plaguicidas,UE_Granja_A_La_Mesa,UE_Biodiversidad,UE_Nitratos,UE_Aves,UE_Agua,Anos,Sexo,Hijos,Estudios,Educacion_Agricultura,Anos_agricultor,ubi_geocode,lat,lon,categoria_map,factor_joven,factor_neorrural,Origen
AGR_11,FALSE,Sevilla,41015,0,Micro,FALSE,14,1,250,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Poco Importante,Poco Importante,Muy Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Util,Util,Util,No Conozco,No Conozco,71,M,2,Universitario,No,60,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,11,Rural
AGR_12,FALSE,Sevilla,41015,0,Micro,FALSE,32,2+,60,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Muy Importante,Muy Importante,Importante,Nada Importante,Nada Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,Util,Util,Util,No Conozco,Inutil,75,F,1,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,66,Neorrural
AGR_13,FALSE,Sevilla,41130,4,Mediano,FALSE,1575,1,4125,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,49,M,0,Secundario,No,20,"41130, Sevilla",37.1196979,-6.089103199999999,3,Experimentado,29,Rural
AGR_14,FALSE,Cortelazor,21208,0,Micro,TRUE,60,1,350,Aumenta,Disminuye,Ninguna Diferencia,Disminuye,Disminuye,Poco Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,10,"21208, Cortelazor",37.93594239999999,-6.625235399999999,1,Experimentado,38,Neorrural
AGR_15,FALSE,Gines,41960,0,Micro,FALSE,9,1,196,Aumenta,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Muy Importante,Poco Importante,Nada Importante,Importante,Muy Importante,Importante,Nada Importante,De Acuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Inutil,No Conozco,Inutil,No Conozco,No Conozco,Inutil,27,F,0,Universitario,No,1,"41960, Gines",37.3843039,-6.0758624,1,Joven,26,Neorrural
AGR_16,FALSE,Sevilla,41015,0,Micro,FALSE,5,1,70,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,En Desacuerdo,No Conozco,No Conozco,Util,No Conozco,Util,Util,82,F,3,Secundario,No,9,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,73,Neorrural
AGR_17,FALSE,Sevilla,41015,0,Micro,FALSE,15,1,40,Ninguna Diferencia,Ninguna Diferencia,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,77,F,1,Universitario,No,12,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,65,Neorrural
AGR_18,FALSE,Almocita,04458,2,Mediano,TRUE,3000,2+,2600,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,Inutil,Inutil,Inutil,No Conozco,No Conozco,No Conozco,62,M,3,Primario,No,48,"04458, Almocita",37.003002,-2.7901189,3,Experimentado,14,Rural
AGR_19,FALSE,Alhaurin de la Torre,29130,0,Micro,TRUE,80,2+,800,Aumenta,Ninguna Diferencia,Disminuye,Aumenta,Aumenta,Importante,Importante,Muy Importante,Poco Importante,Poco Importante,Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,Util,Util,Util,Util,Util,Util,50,F,3,Universitario,Si,10,"29130, Alhaurin de la Torre",36.6598945,-4.5598636,2,Experimentado,40,Neorrural
AGR_20,FALSE,Jerez de la Frontera,11407,9,Micro,FALSE,36,2+,100,Disminuye,Ninguna Diferencia,Disminuye,Aumenta,Disminuye,Importante,Nada Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Util,Util,Util,Util,Util,Util,38,F,2,Universitario,Si,3,"11407, Jerez de la Frontera",36.7047853,-6.1367935,1,Joven,35,Neorrural
AGR_21,FALSE,Berchules,18451,4,Pequeño,TRUE,11000,2,90000,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ninguna Diferencia,Disminuye,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,33,M,0,Universitario,Si,20,"18451, Berchules",36.9751577,-3.1911469,2,Joven,13,Rural
AGR_22,TRUE,Nijar,04100,6,Mediano,TRUE,240000,1,2400000,Aumenta,Aumenta,Aumenta,Aumenta,Disminuye,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Importante,Muy Importante,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,53,M,3,Secundario,No,45,"04100, Nijar",36.9559467,-2.1646722,4,Experimentado,8,Rural
AGR_23,FALSE,Sevilla,41015,0,Micro,FALSE,20,2,320,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Disminuye,Poco Importante,Muy Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,58,F,0,Secundario,No,2,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,56,Neorrural
AGR_24,FALSE,Sevilla,41015,0,Micro,FALSE,40,1,360,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,54,M,2,Secundario,No,12,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,42,Neorrural
AGR_25,FALSE,Gines,41960,0,Micro,FALSE,40,1,200,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,69,M,0,Primario,No,7,"41960, Gines",37.3843039,-6.0758624,1,Experimentado,62,Neorrural
AGR_26,FALSE,Bormujos,41930,1,Micro,TRUE,120,2+,520,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Primario,No,7,"41930, Bormujos",37.3722503,-6.0701344,1,Experimentado,57,Neorrural
AGR_27,FALSE,Gines,41960,0,Micro,FALSE,30,1,150,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Universitario,No,1,"41960, Gines",37.3843039,-6.0758624,1,Experimentado,63,Neorrural
AGR_28,FALSE,Gines,41960,0,Micro,FALSE,10,1,30,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,0,Universitario,No,5,"41960, Gines",37.3843039,-6.0758624,1,Experimentado,43,Neorrural
AGR_29,FALSE,Gines,41960,0,Micro,FALSE,50,2,480,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Secundario,No,7,"41960, Gines",37.3843039,-6.0758624,1,Experimentado,57,Neorrural
AGR_30,TRUE,Velez-Malaga,29700,5,Pequeño,TRUE,1400,1,7000,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Util,No Conozco,No Conozco,Util,No Conozco,Inutil,43,M,0,Universitario,Si,13,"29700, Velez-Malaga",36.7691911,-4.1060031,2,Joven,30,Neorrural
AGR_31,FALSE,Segura de la Sierra,23379,0,Pequeño,TRUE,150,2,400,Disminuye,Aumenta,Aumenta,Aumenta,Aumenta,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Util,No Conozco,Util,No Conozco,Util,Inutil,50,F,2,Secundario,No,35,"23379, Segura de la Sierra",38.2766905,-2.6288523,3,Experimentado,15,Rural
AGR_32,FALSE,Sevilla,41015,0,Micro,FALSE,20,1,180,Disminuye,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,63,M,0,Primario,No,50,"41015, Sevilla",37.439299,-5.9885456,1,Experimentado,13,Rural
AGR_33,TRUE,Finana,04500,4,Pequeño,TRUE,15000,1,105000,Disminuye,Disminuye,Disminuye,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,31,M,1,Universitario,Si,12,"04500, Finana",37.1709472,-2.8415046,2,Joven,19,Rural
AGR_34,FALSE,Lanjaron,18420,3,Grande,TRUE,900,2+,41050,Ns/Nc,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Inutil,Util,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,35,"18420, Lanjaron",36.9187716,-3.4795035,4,Experimentado,13,Rural
AGR_35,TRUE,Finana,04500,1,Pequeño,TRUE,15000,1,120000,Disminuye,Disminuye,Disminuye,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,31,M,1,Universitario,Si,12,"04500, Finana",37.1709472,-2.8415046,2,Joven,19,Rural
AGR_36,TRUE,Pechina,04520,8,Mediano,TRUE,30000,1,120000,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,No Conozco,Util,Util,No Conozco,No Conozco,No Conozco,69,M,3,Primario,No,40,"04520, Pechina",36.9163957,-2.4403012,3,Experimentado,29,Rural
AGR_37,TRUE,Albunol,18700,3,Micro,TRUE,3500,1,30000,Disminuye,Disminuye,Ninguna Diferencia,Aumenta,Ninguna Diferencia,Muy Importante,Muy Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Ns/Nc,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,En Desacuerdo,De Acuerdo,De Acuerdo,Ns/Nc,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,38,F,2,Primario,No,15,"18700, Albunol",36.7921634,-3.2024477,2,Joven,23,Rural
AGR_38,TRUE,Almeria,04120,6,Grande,TRUE,60000,1,30000,Disminuye,Ninguna Diferencia,Disminuye,Aumenta,Disminuye,Muy Importante,Muy Importante,Muy Importante,Poco Importante,Muy Importante,Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Util,Inutil,No Conozco,No Conozco,Inutil,Util,39,M,0,Primario,No,23,"04120, Almeria",36.8544828,-2.4109908,4,Joven,16,Rural
AGR_39,TRUE,Lujar,18614,5,Pequeño,TRUE,12500,1,100000,Ninguna Diferencia,Ninguna Diferencia,Aumenta,Aumenta,Ninguna Diferencia,Importante,Importante,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,En Desacuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,Util,Util,Util,No Conozco,Util,Util,52,F,1,Universitario,Si,14,"18614, Lujar",36.7876079,-3.403473,2,Experimentado,38,Neorrural
AGR_40,FALSE,Busquistar,18416,8,Grande,FALSE,60000,2+,288000,Disminuye,Disminuye,Aumenta,Aumenta,Ninguna Diferencia,Muy Importante,Importante,Muy Importante,Importante,Importante,Poco Importante,Importante,Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Util,Inutil,Util,No Conozco,No Conozco,Util,50,M,3,Primario,Si,30,"18416, Busquistar",36.9377887,-3.2945214,4,Experimentado,20,Rural
AGR_41,TRUE,Chipiona,11540,1,Pequeño,TRUE,900,2+,3300,Disminuye,Aumenta,Disminuye,Disminuye,Ninguna Diferencia,Muy Importante,Poco Importante,Importante,Importante,Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,39,M,1,Secundario,No,20,"11540, Chipiona",36.7348614,-6.431699000000001,2,Joven,19,Rural
AGR_42,TRUE,Gualchos,18730,4,Pequeño,TRUE,7000,1,63000,Aumenta,Disminuye,Aumenta,Aumenta,Disminuye,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,39,M,2,Secundario,No,16,"18730, Gualchos",36.7439354,-3.3899197,2,Joven,23,Rural
